文件序号,序号,日期,商家,商品名,总价,价格
1
 ,1,2016-12-27,USA商城, ,38.00, 
 , , , ,美国代购百年Rosebud Salve玫瑰花蕾膏保湿护唇润唇膏22g淡化唇纹, ,38.00
 ,2,2016-12-25,纸寿千年体验店, ,23.17, 
 , , , ,【亚麻纸】韩国包书皮纸 艺术特种纸 圣诞节日礼品包装纸礼物墙纸, ,6.69
 , , , ,【丝带/麻绳】绳子圣诞节 粗细麻绳 礼物DIY包装彩色丝带 蝴蝶结, ,3.29
 , , , ,保险服务, ,0.00
 ,3,2016-12-25,三年二班不一样的文具, ,51.63, 
 , , , ,三年二班Z小清新裸装本 手帐本A5笔记本 文具日记本记事本子, ,8.86
 , , , ,三年二班?韩国文具可爱细碳素笔 韩版彩色中性笔 按动式创意水笔, ,1.75
 , , , ,三年二班?韩国文具可爱细碳素笔 韩版彩色中性笔 按动式创意水笔, ,1.75
 , , , ,三年二班?韩国文具可爱细碳素笔 韩版彩色中性笔 按动式创意水笔, ,1.76
 , , , ,创意diy负离子水培盆栽 办公室桌面水培陶碳球防辐射迷你小盆栽, ,5.36
 , , , ,三年二班韩国文具Z可爱卡通彩色磁性书签 创意金属礼品迷你书页夹, ,1.60
 , , , ,三年二班韩国文具Z可爱卡通彩色磁性书签 创意金属礼品迷你书页夹, ,1.59
 , , , ,三年二班韩国文具Z可爱卡通彩色磁性书签 创意金属礼品迷你书页夹, ,1.39
 , , , ,三年二班韩国文具Z可爱卡通彩色磁性书签 创意金属礼品迷你书页夹, ,1.40
 , , , ,创意键盘按键水杯三件套 键盘杯 黑白质感创意杯马克杯下午茶杯子, ,11.94
 ,4,2016-12-24,小金子的银子铺, ,39.00, 
 , , , ,【免费刻字】唯爱 S925纯银磨砂莫比乌斯环戒指 简约情侣对戒指环, ,39.00
 ,5,2016-12-21,trus旗舰店, ,65.00, 
 , , , ,trus精灵球充电宝可爱 宠物神奇宝贝球口袋妖怪小 二代创意暖手宝, ,65.00
 , , , ,保险服务, ,0.00
 ,6,2016-12-20,三年二班不一样的文具, ,78.53, 
 , , , ,三年二班●DIY复古手工创意贺卡 牛皮纸信封干花卡片教师节祝福卡, ,2.74
 , , , ,圣诞礼品包装袋 礼物收纳袋 手提绳纸袋 纸袋子 圣诞礼物袋礼品袋, ,3.20
 , , , ,卡通动物家居防滑厚底保暖半包跟棉拖鞋男女保暖棉拖鞋情侣棉鞋Q, ,16.58
 , , , ,冬季加厚高密度仿羊毛鞋垫 35-43码毛绒舒适柔软保暖鞋垫Q, ,2.33
 , , , ,三年二班●2017年创意桌面相框小台历 韩国diy可爱卡通小日历年历, ,4.38
 , , , ,三年二班 可爱猫咪DIY滚轮旋钮日期印章 复古手柄手帐装饰日期戳, ,13.70
 , , , ,三年二班●韩国文具 DIY英文祝福语木质复古圆形印章 手帐用品, ,2.56
 , , , ,三年二班●得力文具 糖果色迷你卷尺 可爱迷你皮尺量三围软尺子, ,3.64
 , , , ,三年二班●DIY复古手工创意贺卡 牛皮纸信封干花卡片教师节祝福卡, ,2.75
 ,7,2016-12-20,USA商城, ,37.62, 
 , , , ,美国代购百年Rosebud Salve玫瑰花蕾膏保湿护唇润唇膏22g淡化唇纹, ,37.62
 ,8,2016-12-19,昕雨轩书店1993, ,15.00, 
 , , , ,包邮 视觉思维 审美直觉心理学》 美）鲁道夫&middot;阿恩海姆, ,15.00
 ,9,2016-12-17,tanimism岸旗舰店, ,228.00, 
 , , , ,棉衣女中长款2016冬装新款韩版狐狸毛大毛领加厚羽绒棉服保暖棉袄, ,228.00
 , , , ,保险服务, ,0.00
 ,10,2016-12-17,糗友 小店, ,23.70, 
 , , , ,一件包邮青皮寿司帘24cm27cm30cm寿司席卷帘紫菜包饭工具模具竹帘, ,12.70
 , , , ,4支包邮创意卡通水果叉水果签陶瓷不锈钢点心叉子甜品叉勺咖啡勺, ,3.50
 , , , ,4支包邮创意卡通水果叉水果签陶瓷不锈钢点心叉子甜品叉勺咖啡勺, ,3.50
 , , , ,4支包邮创意卡通水果叉水果签陶瓷不锈钢点心叉子甜品叉勺咖啡勺, ,4.00
 ,11,2016-12-17,一口诺食品专营店, ,37.70, 
 , , , ,黄胜记无油猪肉松165g 寿司肉松烘焙材料紫菜包饭食材儿童肉松, ,15.00
 , , , ,10袋包邮 金地杰韩式辣白菜108g 韩国泡菜手工下饭菜寿司材料食材, ,2.60
 , , , ,姑香香辣牛肉酱100克 做寿司材料紫菜包饭食材 拌面炸酱面拌饭酱, ,3.20
 , , , ,丘比沙拉酱香甜味30g 水果沙拉蔬菜色拉酱 寿司材料紫菜包饭烘焙, ,1.00
 , , , ,信榆寿司海苔30张 做寿司材料食材紫菜包饭专用烤紫菜日式料理, ,14.90
 ,12,2016-12-11,益诚益美家居专营店, ,60.80, 
 , , , ,正品3M8576 P95活性炭防毒口罩 防雾霾pm2.5/实验室化工/酸性气体, ,30.00
 , , , ,保险服务, ,0.80
 ,13,2016-12-09,星屿地球仪旗舰店, ,39.00, 
 , , , ,鲁班锁系列玩具古典益智玩具伤脑筋十三块拼图包拼板十二巧板邮, ,39.00
 , , , ,保险服务, ,0.00
 ,14,2016-12-08,米娅MIA 精品潮壳, ,35.00, 
 , , , ,韩国带支架指环扣插画iphone6苹果6s手机壳6plus硅胶软壳挂脖挂绳, ,21.87
 , , , ,保护膜钢化膜苹果6plus玻璃9H防爆防指纹iPhone6p苹果6S iPhone7, ,13.13
 , , , ,保险服务, ,0.00
 ,15,2016-12-05,cetaphil丝塔芙创世专卖店, ,24.90, 
 , , , ,Cetaphil/丝塔芙洁面乳200ml温和保湿近零刺激敏感肌肤适用洗面奶, ,24.90
 , , , ,保险服务, ,0.00
2
 ,16,2016-12-03,奥美卓越, ,19.90, 
 , , , ,超大木质木制桌面整理收纳盒抽屉 带镜子化妆品梳妆盒收纳箱包邮, ,19.90
 ,17,2016-12-02,誉赫旗舰店, ,9.90, 
 , , , ,誉赫女士男士情侣触屏水洗皮手秋冬保暖开车骑车韩版时尚手套, ,9.90
 ,18,2016-12-01,哈尔斯官方旗舰店, ,39.00, 
 , , , ,哈尔斯保温杯 女士不锈钢水杯男士商务水杯定制学生杯子户外茶杯, ,39.00
 , , , ,保险服务, ,0.00
 ,19,2016-12-01,唯宝母婴旗舰店, ,12.90, 
 , , , ,Vitamama 孕妇面膜净白补水保湿天然孕妇护肤专用蚕丝面膜, ,12.90
 ,20,2016-12-01,雨泽陶瓷旗舰店, ,3.90, 
 , , , ,餐具套装景德镇餐具骨瓷碗碟套装韩式碗盘家用陶瓷碗创意乔迁礼品, ,3.90
 ,21,2016-12-01,润虎茶叶旗舰店, ,6.00, 
 , , , ,润虎 大红袍茶叶礼盒装武夷山乌龙茶武夷岩茶罐装, ,6.00
 , , , ,保险服务, ,0.00
 ,22,2016-11-30,茉莉清香正品国货, ,36.00, 
 , , , ,北京医院正品 新包装按压嘴100g标婷维生素E/e乳ve乳身体乳包邮, ,36.00
 ,23,2016-11-29,星洲百姓人家大药房旗舰店, ,19.00, 
 , , , ,20克买2减5！尤卓尔 丁酸氢化可的松乳膏软膏 20g 过敏性皮炎*, ,19.00
 ,24,2016-11-29,天猫超市, ,83.21, 
 , , , ,【天猫超市】青苹果钢化耐热玻璃保鲜盒便当饭盒 大号密封碗820ml, ,9.34
 , , , ,【天猫超市】娥佩兰薏仁水500ml爽肤水日本补水保湿控油皙白喷雾, ,51.88
 , , , ,【天猫超市】清风 漫威系列卡通4层8张*10包纸手帕纸巾小包, ,0.01
 , , , ,【天猫超市】美若康 隐形净痘贴日用型 3 贴体验包 祛痘无痕, ,4.72
 , , , ,【天猫超市】皇麦世家草莓水果牛奶燕麦片350g 即食免煮谷物冲饮, ,7.92
 ,25,2016-11-28,爱丽丝医疗护肤中心, ,75.00, 
 , , , ,[蓝科肤宁正品] 愈肤生物膜水剂活性敷料 [最新日期]30 50ML蓝润, ,75.00
 ,26,2016-11-27,塔菲克旗舰店, ,7.80, 
 , , , ,TAFIQ iPhone6数据线6s苹果5加长5s手机6Plus充电线器7P认证ipad4, ,7.80
 ,27,2016-11-27,清风小弄, ,42.00, 
 , , , ,床上用品四件套1.5/1.8/2.0m被套学生宿舍床单人卡通4三件套1.2米, ,42.00
 , , , ,保险服务, ,0.00
 ,28,2016-11-27,EGGKA, ,99.90, 
 , , , ,前短后长毛衣女套头冬纯色复古下摆开叉打底衫针织百搭喇叭袖上衣, ,99.90
 ,29,2016-11-27,叶语齐兴堂专卖店, ,99.00, 
 , , , ,电子美容仪电动吸黑头仪器洁面仪家用脸部去黑头机毛孔清洁器神器, ,99.00
 , , , ,保险服务, ,0.00
 ,30,2016-11-27,韩束巧美妮专卖店, ,19.90, 
 , , , ,韩束红石榴套装六件套BB霜面部护理补水保湿化妆品女护肤品套装, ,19.90
 , , , ,保险服务, ,0.00
3
 ,31,2016-11-26,天猫超市, ,119.92, 
 , , , ,【天猫超市】好吃点甄好曲奇黄油味208g 办公室休闲食品零食饼干, ,16.00
 , , , ,【天猫超市】越南进口 中原G7 三合一咖啡800g（16g*50包）, ,34.90
 , , , ,【天猫超市】mg美即深海胶原滋养保湿面膜升级版25g 补水 护肤品, ,0.01
 , , , ,【天猫超市】绿伞去污超人洗衣液200g*2袋组合装 自然香型洁净, ,0.01
 , , , ,【天猫超市】  圣牧 全程有机低脂奶 低脂纯牛奶200ml*24盒实惠装, ,69.00
 ,32,2016-11-20,日本yukeido, ,258.00, 
 , , , ,日本yukeido眼部颈部护理套装 颈霜紧致去颈纹黑眼圈保湿颈纹霜女, ,258.00
 , , , ,保险服务, ,0.00
 ,33,2016-11-19,沃隆聚壹品专卖店, ,138.00, 
